,Train MSE,Val MSE
0,37.89544819597672,20.203456017278857
1,27.60713740515115,15.798913478851318
2,24.725477286505104,14.505871265165267
3,22.42808304308148,11.705922234442927
4,20.636467899716198,11.678172588348389
5,19.705571191590877,13.794186653629426
6,19.976053164947075,10.373418161945958
7,17.909827659987045,10.844627464971234
8,18.83825328426429,17.046276984676236
9,16.983077015316784,13.68086536468998
10,16.95049669225021,13.52214216416882
11,15.431391400374551,9.845602712323588
12,15.396887555241161,10.415747011861493
13,15.42077684232773,9.475215342737012
14,14.737315934747988,11.273509625465639
15,13.895274584827899,9.999310062777612
16,14.237073905103147,9.225306387870543
17,13.14628434096367,8.95406787626205
18,12.519726834687473,9.853563877844042
19,13.411584796430377,9.970423667661604
20,12.683090880248047,9.470784110407676
21,11.946821245010213,8.42781037669028
22,11.81225944159294,9.647333314341884
23,11.332400899764906,8.342852900105138
24,10.80374201421636,8.664193553309287
25,10.771623714962889,9.2831511651316
26,11.336276137531865,7.809212684631348
27,10.41377572572104,7.553295481589533
28,10.195249364893632,7.650533568474554
29,10.504634938630344,8.4673555128036
30,10.262744695690603,7.112752899046867
31,10.184091208244133,7.8478617668151855
32,9.350764781979056,7.478591172925888
33,9.437550745824902,7.1444978790898475
34,9.665989375199288,7.103278859969108
35,9.348088125317123,6.795379223362092
36,9.42124338760919,6.76825265730581
37,9.250396999175862,6.643289827531384
38,9.264606119474907,6.849626787247196
39,8.668434624145888,6.423196077346802
40,9.419899691890567,6.666167739898928
41,9.167607317615659,7.835666456530171
42,8.831981820143838,6.89774207145937
43,8.242203255989374,6.501823286856374
44,8.643481716990895,6.107317132334555
45,8.657316765327046,6.76129989470205
46,8.767433558494595,6.632870704896988
47,8.020044782407767,6.873001275524016
48,7.982067666444066,6.438194632530212
49,8.133290486827864,5.940318845933484
50,8.118993653945651,6.063538659003473
51,7.903999839389027,6.5935382035470775
52,7.76655917999159,5.696843716406053
53,7.845949651507721,6.473554418933007
54,8.111929000908795,6.309683768979965
55,7.776861682905421,5.795579956423852
56,7.885770572037884,6.248078700034849
57,7.751573247841669,6.483248149195025
58,7.770695230714791,6.017086436671596
59,7.432580108744394,5.579220817935083
60,7.362398342729888,5.849280888034452
61,7.308502936278374,5.86841510188195
62,7.463192129474518,6.749226993130099
63,7.324516675650437,8.11212695029474
64,7.243317591337971,6.039602848791307
65,7.056549511770337,5.450753119684035
66,7.401006549278613,6.2759730508250575
67,6.899130759290105,6.123174475085351
68,6.641197844332223,6.53456497961475
69,6.9219466095717355,5.8917931664374565
70,6.826667852673242,5.180131381557834
71,6.281870533138831,5.589804795480544
72,6.695722976189067,6.160686854393251
73,6.622595975831734,5.714981140628938
74,6.640527390924637,5.395327160435338
75,6.617297402480319,5.796775771725562
76,6.6572481389571765,6.137376839114774
77,6.74141362468543,6.992966182770267
78,6.569824585286748,5.625493964841289
79,6.303310281441305,5.497281297560661
80,6.526780827613912,5.43529898120511
81,6.30204979210986,5.456740986916326
82,6.497238083666329,5.499798236354705
83,6.3088401670557746,6.138889039716413
84,6.187994009235151,5.076088516942916
85,6.278451665016256,5.434987552704349
86,6.34934928748107,5.610315611285548
87,6.489425844144991,5.461845659440564
88,5.972765365105083,5.726690238521945
89,6.2866534499511175,4.87362091772018
90,6.2114616874273985,5.475708192394626
91,6.4850888523767,5.060047434222314
92,6.117286079718974,5.679012698511923
93,6.283073286993224,4.873067325161349
94,5.9558431321615855,5.784956186048446
95,5.914671522018324,4.623339668396981
96,6.26076650280121,5.542926842166532
97,5.869953738412823,4.961790092529789
98,5.866739999357067,5.030492521101428
99,5.817971081071901,5.662689585839549
